redshift, Fryer, Muller&Mandel, Muller&Mandel(f_WR=0.2), Schneider 
5.424712,122.68627969813042,26.349784212781167,17.68978454856766,2.316448110772463
5.321632,129.70648746625923,27.624796037981383,18.997510412313737,2.4219715925509324
5.2202206,136.6642578193051,28.966371981214206,20.191177266365546,2.538734356881036
5.1204004,143.57626989321557,30.424691757912967,20.970103881782762,2.6488817527921538
5.02221,150.2019441753784,31.482572699707244,22.13821705992579,2.7596990529870773
4.925575,157.67760987189016,32.9302507377583,23.20283306220441,2.8759920073012273
4.830496,164.7350991220937,33.91899826694948,24.374247060426438,2.9926540326921374
4.7369385,172.19102456400503,35.30494601488222,25.674742641786754,3.1835014052594746
4.6449018,179.4676684593326,36.65635981502243,26.741595899105004,3.2736856034685924
4.5543213,186.37630308821213,37.932972028101496,28.322379990228804,3.413682708578406
4.4651976,192.66625529976633,38.87292405997284,29.516770949804542,3.5197678603105715
4.3775296,199.25326761039787,40.17697262765982,31.408393215941576,3.587795931125819
4.2912292,206.03165605134902,41.38770744262572,32.393851968818055,3.6702410389503597
4.206327,212.25299414328163,42.35885834411258,33.09512047003485,3.8844338943754777
4.122793,218.29987006272665,43.551132650028336,35.109281565158156,3.8460649968446736
4.040602,224.77454218195956,44.92613376744199,35.50734521578682,3.9690346898409437
3.959727,230.7331346013273,45.77600972823149,37.706871860066265,4.098057590139719
3.8801436,236.47767698741578,46.82711590874513,38.73056783006466,4.2016278214599705
3.8018515,241.48263690893137,47.745560027817035,40.21418474724867,4.234942268068854
3.7248037,246.17831165461936,48.803088142960256,40.72841534152752,4.387983972682355
3.648979,251.4331240269322,49.440392665330066,42.35563154419176,4.476839929974476
3.574398,255.95350512711528,49.31807557998624,43.47906538096095,4.512316568125503
3.500997,259.14452628352666,50.16748637062071,43.19487268680415,4.532097670286995
3.4287765,263.0418137311617,50.48500014779065,43.312491588978475,4.548329305105985
3.3577163,266.21298634193437,51.23747709686518,44.64596146796812,4.620205071362365
3.287797,269.38022464720956,51.366236645715155,45.84626867930907,4.674091824723432
3.2189999,272.6642111030022,51.54750628435372,46.16180144399417,4.680133321044632
3.1513069,275.6669094948401,52.75697512713254,47.60444685551316,4.840545303235724
3.0847003,279.616141265582,53.12757100484543,48.480072935290615,4.904625360326757
3.0191634,281.8692528844294,54.463994670247324,48.63392590390097,4.987956537405529
2.9546638,283.51731617910934,53.82379372056957,51.53838180066176,4.9486851923887665
2.8912172,285.64507056991056,54.072972759810355,52.43704032428061,5.050119455239387
2.828777,286.7458034767429,53.76881665528549,51.21670625530255,4.89200754917691
2.767344,289.1398510211867,53.4999771104225,52.133198935692306,5.026210240187221
2.7069027,290.48020416506705,53.82792265041934,50.37572275020792,5.017806635754395
2.6474252,290.55937141783414,53.464533331364514,50.23418113046468,5.012620201008322
2.588899,291.60622016582994,53.055528051958746,50.69256197996107,5.116166680679559
2.5313103,292.3463351034856,53.191480165419186,50.127225990815745,5.164805616063582
2.4746473,291.8624986728042,52.90834490268625,49.42947037319204,5.149963719109368
2.418897,291.29859424968424,52.61918695570839,50.36789140256336,5.055100848112645
2.364047,290.9980059202516,52.62827827955153,49.870605804434845,5.147317444954796
2.3100636,290.61951313040015,52.015474237621234,49.58569126762945,5.142981103859201
2.2569578,289.8476841040075,51.68128776799031,49.65405865227202,5.071864815927768
2.204697,289.4962198017583,51.0066493481192,48.569610691389805,5.137540450179147
2.153281,287.39834081421213,50.927617787379255,49.06727123368339,5.0210919988535405
2.1026897,287.78901032223183,50.76820490564172,48.103662724197335,5.095994478903333
2.0529037,286.37323093873727,50.71919175599678,48.5595546620861,4.976913999594959
2.003914,284.7485669633876,50.66001881463964,47.96162118750335,5.069924598858772
1.9557203,282.3724037878731,49.92554736303026,48.70491564216998,4.868507475340371
1.9082956,280.636160511304,49.41534919308883,47.85247365426481,4.954241043073195
1.8616315,279.7900161264677,48.534174622481046,48.25884574012215,4.821559816711736
1.8157116,278.00740095878416,48.34461453643618,47.19213683076758,4.857441271500309
1.770536,275.2356989402691,47.689998125867405,46.558768105913956,4.828560972263002
1.7260807,273.43138225977066,47.17106506063058,46.00940101215253,4.888296344557021
1.6823459,270.62983776841287,46.93704220409609,45.945090729678824,4.754587816512091
1.6393024,268.5668517983167,47.42028110555409,46.12305339071924,4.925980013453304
1.5969574,265.5531750751399,46.11421003671897,46.08422764450248,4.754779831992753
1.5552901,263.4087585298058,45.29074786595015,44.758759689446464,4.648989500074556
1.5142875,261.07534342745123,44.77678096000528,44.237965995803705,4.745579391893476
1.4739432,258.95944707794575,44.203606421373884,44.63082619798609,4.544945286641151
1.4342508,256.3641791823849,43.446728454035046,44.092670565548715,4.6207766951519
1.3951924,252.7558347173962,42.67648473112269,43.02512274704583,4.5515819368998685
1.3567619,250.08199443839115,41.97919782359596,41.5744610352544,4.4630583178433865
1.3189481,246.6947506188465,41.40584432327137,41.06880476235264,4.485928788337515
1.2817402,243.72534225463096,40.44952665797374,40.57429464667126,4.4799242227505705
1.2451276,240.61511955275307,39.5960411591245,39.906824371131485,4.517386583740043
1.209105,237.82161003806792,39.23387820384198,39.000229435805004,4.343934306888947
1.1736579,234.91120254029354,38.87686626753756,38.459874638356325,4.394229946207854
1.1387812,232.7443295449242,37.895156199180605,38.48130799673071,4.277127953789822
1.1044657,229.39834000283105,37.221462410301505,38.10197224782941,4.206274719296508
1.0706978,226.209799536005,36.44480438345692,37.03508769563324,4.1664221706193505
1.0374732,223.41324728026376,36.02306799230531,36.53076289601608,3.982702047027863
1.0047834,220.96605748221998,35.43755565395357,36.439138014815214,3.983804172009946
0.97261614,218.39557902982943,34.71480512825503,35.53805325495147,3.8778364957502895
0.9409636,215.619047235781,34.32140506590274,35.23213515365047,3.750821620619985
0.90982205,212.26369385827974,33.74050903549449,35.04206000084503,3.795984823541602
0.87918,209.4859577693034,33.11275326300133,34.27769657873694,3.654621227564172
0.849027,206.1727775440017,32.31184257018461,33.83950448927302,3.5865187628279447
0.8193594,202.62959415110024,32.01658044856595,33.71640985748472,3.5129610515909513
0.79016733,200.6953702883398,31.253553756874894,32.67157573871694,3.4271451342976555
0.7614441,197.16439705902079,30.88686738527447,32.69659283219722,3.3915404495502908
0.73318034,194.31986121089716,30.208293823073184,31.816558004226003,3.298117161018619
0.7053729,192.0148065341572,29.626915790767658,31.17447948473715,3.2971195211163264
0.67801,188.82165609419712,29.300198164694162,31.453526661665876,3.256737490813848
0.6510859,186.934036913476,28.641400920191213,30.560912017969,3.106320107845989
0.6245924,183.90158112178275,28.2852343170998,30.110603197495124,3.083560430091894
0.5985268,180.94576782202714,27.624682577869702,29.95883844257049,3.036838759187343
0.57287854,177.50881739998192,27.135157050950294,29.479646363520608,2.9441371455285346
0.54764026,175.22743285958194,26.5358184358929,28.882721845692803,2.9310072000186898
0.5228094,172.72562769967865,26.028240784247647,28.60081063073932,2.9124184166161204
0.49837425,170.3212569250407,25.832291843664827,28.510245758963688,2.875449052694237
0.4743326,167.15360569733522,25.450687932591094,28.255169372399568,2.8009162676064054
0.4506777,165.31213292782016,24.717076366229666,27.7775178622671,2.741052011215604
0.42740095,163.13214105802896,24.46756631751625,27.67684689443126,2.7374939450787035
0.40449834,160.47836500496834,23.76408576426099,26.866635172218515,2.683272984301479
0.38196373,158.34028294771113,23.69089281380351,26.6867755692745,2.654203531918819
0.3597894,156.09856370761509,23.266369097911234,26.759126487308716,2.5940962109634755
0.33797163,154.19222263766358,22.63916877573893,26.20211192665063,2.5655006717042013
0.31650317,151.98408869224917,22.385179759969116,25.80827520875265,2.5433257092071297
0.2953804,150.7089896103974,22.406667845464952,25.61486493432484,2.5668429904743406
0.2745949,149.60828587375204,22.34508465078723,25.627337413063486,2.495355253238871
0.25414494,146.76351344009538,21.942032773163476,25.273335390032,2.5304792272198684
0.23402098,145.54935313375242,21.548583418050146,24.96206608960736,2.435606335285416
0.21422145,142.7897855971455,21.185015688362448,24.545211197974528,2.3767756559200643
0.19473885,142.78329628314532,21.516978671406612,24.929856135689363,2.3464068131519187
0.17556886,140.68041788157595,21.214646706257856,24.304515069989492,2.3861821156821827
0.15670723,139.38363888851916,20.620509224322365,23.9143654948751,2.429011001302774
0.13814716,137.20728137321856,20.26794030753788,23.69014817135641,2.334185780779828
0.11988604,135.3980009428119,19.937150951886736,22.784421923432596,2.279342829361638
0.101917446,133.2370242564891,19.567589846325138,23.049465359137763,2.227296741747776
0.0842365,132.56500682141638,19.32337818284,22.776511245506523,2.4660217544522323
0.066839635,130.30869469517725,19.211851754138433,22.140733934338844,2.2281019666837016
0.04972219,128.88483685743745,18.817055548748186,22.113466475664886,2.218147281634817
0.032879658,126.57892165956154,18.192772748062257,21.53747918120191,2.163652875310911
0.01630664,125.32197295561953,17.91876939573906,21.26634923602057,2.1148127495676317
0.0,123.47869397026312,17.682025752842094,20.822758518951453,2.063224975569271
